bag_time_ns,bag_time_sec,data
1780471688348414788,1780471688.348414898,True
1780471688358417167,1780471688.358417273,True
1780471688369254056,1780471688.369254112,True
1780471688378481896,1780471688.378481865,True
1780471688388259527,1780471688.388259411,True
1780471688398366231,1780471688.398366213,True
1780471688408297151,1780471688.408297062,True
1780471688418355021,1780471688.418354988,True
1780471688428430972,1780471688.428431034,True
1780471688438298239,1780471688.438298225,True
1780471688448399376,1780471688.448399305,True
1780471688458393114,1780471688.458393097,True
1780471688468450280,1780471688.468450308,True
1780471688478344621,1780471688.478344679,True
1780471688488261587,1780471688.488261700,True
1780471688498488331,1780471688.498488426,True
1780471688508309772,1780471688.508309841,True
1780471688519028319,1780471688.519028425,True
1780471688528261311,1780471688.528261423,True
1780471688538332718,1780471688.538332701,True
1780471688548614984,1780471688.548614979,True
1780471688558373190,1780471688.558373213,True
1780471688568424179,1780471688.568424225,True
1780471688578367835,1780471688.578367949,True
1780471688588511822,1780471688.588511705,True
1780471688598297165,1780471688.598297119,True
1780471688608295576,1780471688.608295679,True
1780471688618446187,1780471688.618446112,True
1780471688628322095,1780471688.628322124,True
1780471688638369980,1780471688.638370037,True
1780471688648429643,1780471688.648429632,True
1780471688658298894,1780471688.658298969,True
1780471688668394814,1780471688.668394804,True
1780471688678271778,1780471688.678271770,True
1780471688688376435,1780471688.688376427,True
1780471688698435265,1780471688.698435307,True
1780471688708768927,1780471688.708768845,True
1780471688718526236,1780471688.718526125,True
1780471688728401344,1780471688.728401423,True
1780471688738503888,1780471688.738503933,True
1780471688748343826,1780471688.748343945,True
1780471688758420193,1780471688.758420229,True
1780471688768417708,1780471688.768417597,True
1780471688778409911,1780471688.778409958,True
1780471688788451396,1780471688.788451433,True
1780471688798371754,1780471688.798371792,True
1780471688808347028,1780471688.808346987,True
1780471688818441476,1780471688.818441391,True
1780471688828313256,1780471688.828313351,True
1780471688838490812,1780471688.838490725,True
1780471688848263163,1780471688.848263264,True
1780471688858554486,1780471688.858554602,True
1780471688868269265,1780471688.868269205,True
1780471688878356672,1780471688.878356695,True
1780471688888466897,1780471688.888466835,True
1780471688898363830,1780471688.898363829,True
1780471688908299166,1780471688.908299208,True
